Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,V,WMT
2021-01-26,48.21,27.84,40.08,34.13,50.82,35.0,42.04,32.36,39.5,38.23,39.43,32.58,27.4,30.41,25.75,35.39,27.93,29.61,26.13,26.03,25.67,25.34,34.08,28.98,21.09,26.24,29.56,18.38,29.36,28.46
2021-01-27,49.12,33.28,46.18,39.85,54.21,42.33,46.51,35.0,43.58,45.72,47.14,38.39,33.15,36.64,33.26,39.32,30.27,36.89,28.34,31.75,31.38,28.98,35.27,36.33,26.7,33.5,33.56,21.04,33.67,33.76
2021-01-28,42.39,37.44,42.19,39.07,50.82,36.56,44.49,33.82,37.46,42.18,45.36,34.61,30.07,33.87,27.23,36.92,29.99,31.44,27.84,26.96,28.03,29.42,30.48,30.93,21.79,28.37,30.53,19.81,31.04,33.2
2021-01-29,44.55,35.46,43.02,38.45,52.25,35.95,45.27,36.22,40.38,43.85,41.99,37.01,32.61,33.12,30.05,38.35,28.1,33.38,28.19,28.12,30.35,29.09,33.59,32.76,23.65,33.76,31.94,21.41,33.12,33.62
2021-02-01,38.48,33.3,40.35,35.47,49.12,32.86,42.25,34.44,38.33,42.75,40.6,34.42,31.71,30.06,27.15,35.07,25.65,32.46,27.12,25.84,29.04,29.64,30.07,31.79,21.7,29.2,29.94,21.45,29.2,33.44
2021-02-02,34.62,32.24,36.71,33.74,43.66,29.61,41.51,32.19,35.44,39.64,37.61,32.84,31.47,27.16,24.67,33.6,22.28,35.82,25.41,22.29,25.26,36.98,27.45,26.67,19.68,25.71,28.45,18.66,25.98,30.86
2021-02-03,33.72,28.38,31.24,32.85,43.36,29.95,40.85,31.7,33.82,39.35,37.16,32.06,27.69,25.18,22.95,31.61,22.01,28.54,24.62,22.26,25.41,27.26,26.5,28.73,18.93,25.22,27.49,17.74,26.58,30.99
2021-02-04,32.54,27.22,29.43,32.56,41.49,29.01,41.0,32.77,33.28,40.14,34.5,30.86,26.63,24.43,23.47,30.78,21.5,27.86,24.66,21.88,23.55,23.99,24.67,27.21,18.61,24.12,27.35,17.6,24.9,29.47
2021-02-05,30.54,26.45,27.94,29.99,40.2,28.32,39.77,32.47,31.47,38.76,33.46,29.23,26.81,23.94,22.67,29.0,22.61,26.15,24.91,21.12,22.93,24.88,24.12,28.02,19.05,23.91,27.31,16.91,22.61,28.19
2021-02-08,30.34,27.13,28.81,31.85,40.41,29.98,39.95,32.0,33.19,40.76,34.35,30.84,27.29,21.81,22.54,30.18,22.44,27.25,25.33,21.41,24.24,28.09,24.4,28.6,18.98,25.21,26.98,17.48,24.99,28.28
2021-02-09,31.34,26.01,28.75,31.07,42.41,29.49,40.2,34.75,32.63,43.04,34.07,31.15,27.19,21.4,22.96,30.3,22.09,27.34,25.78,21.64,22.59,24.32,24.97,27.81,18.5,24.23,26.83,17.0,24.89,27.8
2021-02-10,31.18,25.12,28.68,30.76,42.37,29.21,40.46,24.02,31.83,43.08,33.62,30.52,29.13,21.28,23.01,30.95,21.92,27.16,23.21,21.94,23.23,25.01,24.67,29.97,19.14,25.99,28.44,17.46,24.74,30.87
2021-02-11,30.08,25.87,28.13,31.47,42.26,29.17,41.17,23.63,33.36,47.2,33.45,30.98,28.2,22.39,22.75,31.57,21.68,27.22,21.52,21.91,23.83,24.81,24.39,28.02,19.41,25.14,28.29,17.92,24.29,29.23
2021-02-12,28.41,25.84,27.12,30.86,41.45,28.19,41.29,23.71,32.06,34.81,33.76,30.12,27.93,21.9,22.53,32.82,21.31,26.56,21.4,21.1,23.01,22.65,22.6,26.5,18.9,24.9,28.05,17.63,24.11,28.6
2021-02-16,29.71,25.27,28.59,31.82,43.16,30.07,41.36,23.4,33.63,33.75,34.44,30.64,28.54,24.13,23.83,34.0,21.77,28.18,21.33,22.0,23.67,24.14,24.3,28.33,19.3,24.94,28.16,17.98,24.42,29.43
2021-02-17,30.5,24.39,29.19,31.71,43.69,30.69,40.55,23.23,33.9,33.48,34.67,31.3,27.96,23.94,23.15,34.19,21.21,27.65,21.66,22.15,23.47,24.07,24.21,28.42,20.09,24.75,27.83,20.03,25.34,27.69
2021-02-18,31.17,25.16,28.37,31.2,43.47,30.91,41.27,22.89,33.99,33.03,34.92,30.5,28.07,24.04,23.27,33.16,21.2,27.07,21.75,21.55,23.33,23.65,24.14,29.55,19.8,24.87,27.46,18.81,24.46,23.94
2021-02-19,29.36,24.83,28.3,31.63,42.63,30.67,39.55,23.42,32.84,31.56,33.95,29.29,27.59,23.85,22.53,32.6,20.32,26.3,22.0,22.39,23.26,23.19,24.04,35.06,19.58,25.17,26.82,18.4,24.91,22.15
2021-02-22,34.0,24.79,30.51,33.57,44.02,31.74,40.99,24.46,34.03,33.99,35.3,30.52,28.42,24.12,23.89,33.92,20.96,27.51,21.52,21.9,23.96,23.46,26.15,37.45,20.29,24.66,27.83,18.71,25.62,22.25
2021-02-23,34.47,27.49,29.98,33.31,43.94,30.82,41.06,23.14,32.93,35.03,36.02,30.82,25.05,23.22,23.16,34.6,21.2,27.68,21.53,22.28,25.39,24.36,26.6,36.82,20.65,24.32,27.86,19.14,26.95,23.05
2021-02-24,33.7,26.91,30.0,34.77,46.91,31.02,43.56,24.49,33.3,34.49,34.93,31.56,26.7,24.48,24.05,35.39,22.58,28.75,21.69,21.39,24.09,22.62,27.98,36.05,20.36,25.5,27.83,19.9,27.74,24.43
2021-02-25,39.48,32.13,35.48,35.45,48.34,34.16,45.61,25.83,36.6,37.89,37.26,33.83,30.55,27.22,26.23,38.63,23.89,31.43,22.92,25.12,28.21,19.77,34.21,40.58,23.05,28.52,30.75,20.92,29.21,25.34
2021-02-26,37.26,30.01,32.05,33.2,46.69,32.91,35.74,23.88,35.59,36.47,40.05,32.9,26.95,26.28,25.5,37.52,25.36,30.1,22.42,23.75,24.22,25.98,29.42,38.45,22.11,26.48,28.7,21.39,27.65,23.9
2021-03-01,31.87,25.62,27.74,32.0,44.65,30.35,32.0,23.61,33.99,33.22,35.93,31.58,24.22,24.51,23.5,33.69,20.62,31.12,20.81,21.07,23.28,29.41,24.52,35.79,18.21,23.94,26.97,19.28,24.88,23.06
2021-03-02,33.29,25.82,28.4,32.6,44.86,30.01,31.57,22.81,34.93,32.95,36.26,31.95,24.47,22.93,22.38,34.61,20.29,28.35,21.04,21.13,22.74,29.34,26.62,35.59,21.56,24.32,27.06,18.84,25.82,22.79
2021-03-03,36.17,28.63,31.87,33.81,48.28,32.13,35.02,24.51,35.33,34.51,38.48,34.91,25.39,26.14,23.8,36.64,24.79,31.54,22.3,22.48,25.77,27.4,30.53,38.15,21.89,25.95,28.16,21.52,27.3,24.21
2021-03-04,38.31,27.96,33.09,35.91,50.09,32.36,34.4,25.35,36.77,37.34,38.48,35.03,27.95,27.79,25.34,37.37,24.34,31.98,23.25,24.6,26.04,27.64,30.15,38.45,26.06,28.71,28.51,21.47,28.03,25.45
2021-03-05,35.17,29.56,30.99,33.25,48.89,30.99,33.69,25.3,36.25,34.48,37.39,31.69,25.45,24.64,23.51,35.38,21.88,29.11,20.74,21.69,23.86,26.04,28.34,36.59,20.23,25.99,27.94,20.45,25.63,23.64
