Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,V,WMT
2021-01-26,29.53,20.85,21.73,26.58,25.13,23.51,20.41,16.56,25.63,23.12,29.06,27.57,19.24,15.75,19.96,41.07,15.36,20.51,18.22,15.78,19.39,18.83,19.78,20.06,15.14,21.39,24.34,13.12,20.24,13.72
2021-01-27,29.49,21.9,21.9,27.81,26.17,24.38,20.53,17.52,26.59,23.62,29.97,27.58,20.0,16.28,20.38,41.37,15.82,20.68,18.63,16.76,22.59,20.61,21.68,20.31,17.38,22.39,24.84,14.85,20.68,14.82
2021-01-28,29.78,34.76,21.97,28.53,25.88,24.92,20.54,17.77,26.65,24.72,30.61,28.13,20.47,16.99,20.75,38.48,16.21,21.19,18.93,17.28,22.85,20.87,22.45,21.37,18.52,22.51,25.67,15.55,21.01,14.95
2021-01-29,31.28,35.11,21.91,28.73,27.13,26.28,21.16,18.02,26.84,24.54,32.38,28.52,21.11,18.22,21.08,38.99,17.53,21.91,19.3,18.35,24.74,21.34,22.91,21.66,18.76,22.96,26.08,15.53,23.27,15.7
2021-02-01,31.72,35.26,22.98,28.83,27.26,26.57,21.56,18.3,27.5,24.7,32.74,28.36,21.45,18.1,21.16,38.99,17.54,21.66,19.26,18.15,24.95,21.12,24.42,21.99,18.69,23.02,25.94,15.8,23.44,15.94
2021-02-02,31.07,34.7,22.8,29.03,27.1,27.09,21.43,18.01,27.2,25.47,32.87,28.68,21.38,18.01,20.87,38.38,17.41,21.71,19.04,18.39,24.55,20.86,24.04,21.96,18.52,22.76,25.73,15.88,23.31,16.07
2021-02-03,29.26,34.81,22.6,27.83,26.89,26.43,20.31,17.58,27.37,23.97,31.93,28.27,21.3,16.96,20.52,37.65,17.05,21.39,16.21,17.36,24.04,20.25,23.29,21.08,17.91,20.93,24.99,15.88,22.74,15.77
2021-02-04,29.1,34.75,22.7,28.64,25.82,26.05,19.9,18.6,26.05,24.16,31.4,27.34,21.39,16.88,20.59,37.62,16.61,21.53,16.14,17.54,23.93,20.29,23.26,20.83,17.51,21.78,25.03,15.99,23.23,15.59
2021-02-05,28.2,34.02,22.75,28.0,25.9,23.54,19.56,18.39,25.47,23.88,30.33,25.14,20.68,16.44,18.98,36.93,16.08,20.31,14.47,17.47,23.74,19.79,22.97,20.91,17.21,21.47,21.28,15.71,22.93,15.33
2021-02-08,28.14,34.68,23.13,24.39,25.68,23.26,19.72,17.78,25.88,25.38,30.47,24.71,21.06,15.67,18.9,37.34,16.22,20.13,13.75,17.54,21.73,19.33,22.75,21.37,17.37,21.87,20.7,15.71,23.57,15.5
2021-02-09,27.63,33.94,22.72,23.92,26.2,23.04,19.54,17.45,25.48,25.02,30.03,24.34,20.72,15.55,18.63,36.77,15.96,19.76,13.52,17.64,21.3,19.0,22.39,21.17,17.17,21.45,21.06,15.51,23.34,15.33
2021-02-10,27.79,33.68,22.87,23.86,26.02,22.66,19.46,18.33,24.57,25.19,30.2,23.63,20.28,15.61,18.72,36.84,15.86,18.95,13.7,17.73,21.22,18.24,22.71,21.07,17.06,21.47,21.19,15.39,23.31,15.45
2021-02-11,27.7,33.85,22.73,23.95,26.22,22.51,19.4,18.06,24.66,25.11,29.57,23.33,19.77,15.19,18.66,36.47,15.72,18.8,13.86,17.57,21.39,17.24,22.56,20.96,16.88,21.01,21.24,15.3,23.13,15.39
2021-02-12,27.44,33.9,22.49,23.83,26.14,22.14,19.26,18.03,24.6,25.91,29.17,23.35,19.22,15.19,18.01,35.18,15.96,18.77,13.88,17.51,21.37,17.07,22.5,20.81,17.01,20.75,21.18,15.36,23.26,15.27
2021-02-16,27.83,33.83,22.76,24.37,26.07,22.75,19.8,18.2,24.0,25.71,29.13,23.03,17.91,15.58,17.89,34.43,16.07,17.92,13.53,17.26,21.78,17.06,22.61,20.44,16.97,20.81,21.19,15.31,21.85,15.18
2021-02-17,27.51,33.27,22.55,24.18,26.09,22.44,19.62,17.92,24.05,25.84,28.8,22.86,18.12,15.39,17.66,33.76,15.83,17.79,13.43,16.99,21.41,17.29,22.25,20.93,17.01,20.51,21.07,16.09,21.57,15.42
