horizon,HAR-IV,Hybrid-RSSM,block,relative_gain_vs_HARIV
1,0.0017058575531331,0.0008874303326194,block_00,0.47977465586767076
2,0.0027271331733459,0.0018049101331229,block_00,0.3381657519465877
3,0.0038038667375389,0.0028272493547442,block_00,0.25674332204039585
4,0.0049918867600084,0.0037652789264668,block_00,0.2457202842356817
5,0.006169226474911,0.0049306689425414,block_00,0.20076382953463678
1,0.0011058985499418,0.0006552330694263,block_01,0.40751068942012547
2,0.0017336149513015,0.0012388125081135,block_01,0.28541657581836755
3,0.0022695630359629,0.0018910286654034,block_01,0.16678733507787336
4,0.0028684404755644,0.0024984133917708,block_01,0.12899939425125861
5,0.0033494849037581,0.003070421761208,block_01,0.08331524116946842
