index,model,horizon,MSE,QLIKE,MAE,N
0,GHAR,1,1.374109399882432,0.0014214973650608562,0.7502810077448481,4080.0
1,GHAR,2,2.25488372391198,0.0022999001293702455,1.0021806227699344,4080.0
2,GHAR,3,3.1230831264756547,0.0031836676152038647,1.2147462837451342,4080.0
3,GHAR,4,4.122016145500526,0.004153633471475509,1.4180954822307237,4080.0
4,GHAR,5,5.16475885022296,0.005167497461519692,1.6081455268931182,4080.0
5,GHAR-IV,1,1.3176380480865457,0.001382524057926578,0.7756104967788158,4080.0
6,GHAR-IV,2,2.132290000357429,0.002209876685013963,1.0300452368112323,4080.0
7,GHAR-IV,3,2.9183449867073703,0.003026371724666471,1.232406452603612,4080.0
8,GHAR-IV,4,3.7980836073538824,0.003898480368477382,1.4259129471012373,4080.0
9,GHAR-IV,5,4.678300141232793,0.004762907526760638,1.595212722017006,4080.0
10,HAR,1,1.3435465982426638,0.0013860387471312,0.7316300775206699,4080.0
11,HAR,2,2.1833666031789303,0.0022198673871438265,0.9744184763885513,4080.0
12,HAR,3,3.0052244220333,0.0030520507106241504,1.185111518942884,4080.0
13,HAR,4,3.9473157240808683,0.003956094483613591,1.380559175557612,4080.0
14,HAR,5,4.9249469116508395,0.004887155885841264,1.5652105461504908,4080.0
15,HAR-IV,1,1.3092627815988387,0.0013692853797642132,0.7702780015770827,4080.0
16,HAR-IV,2,2.1115493664288922,0.002179926641714725,1.0205726461252196,4080.0
17,HAR-IV,3,2.8781056452365408,0.002972778351474902,1.220212233640289,4080.0
18,HAR-IV,4,3.7356488206181204,0.0038154942687845085,1.407751999039606,4080.0
19,HAR-IV,5,4.5867273308764025,0.004641597081716806,1.5721472819644353,4080.0
20,Hybrid-RSSM,1,0.6500997491146759,0.0006763892241687676,0.511979615095433,4080.0
21,Hybrid-RSSM,2,1.311301449342585,0.0013648828299332601,0.7609110429862589,4080.0
22,Hybrid-RSSM,3,2.0369726460311277,0.0021145319902649245,0.9814840350403202,4080.0
23,Hybrid-RSSM,4,2.7285495386218392,0.0028210258383121307,1.1553592727326127,4080.0
24,Hybrid-RSSM,5,3.5204177956773988,0.0035903621446694324,1.3367037542667028,4080.0
25,Naive,1,1.388363799019608,0.001423527910355534,0.7292769607843139,4080.0
26,Naive,2,2.2741686274509814,0.002303089736390931,0.9739558823529414,4080.0
27,Naive,3,3.183783897058824,0.003214876336341141,1.1894289215686276,4080.0
28,Naive,4,4.204374950980393,0.004208163740084544,1.3916617647058827,4080.0
29,Naive,5,5.2715007843137265,0.005248396161911194,1.5788921568627456,4080.0
